country;variable;percentile;year;value;age;pop
DE;ghwealj992;p0p100;2018;0.812;992;j
DE;ghwealj992;p0p100;2019;0.814;992;j
DE;ghwealj992;p0p100;2020;0.816;992;j
DE;shwealj992;p90p100;2018;0.594;992;j
DE;shwealj992;p90p100;2019;0.596;992;j
DE;shwealj992;p90p100;2020;0.599;992;j
DE;shwealj992;p99p100;2018;0.291;992;j
DE;shwealj992;p99p100;2019;0.293;992;j
DE;shwealj992;p99p100;2020;0.295;992;j
DE;shwealj992;p0p50;2018;0.020;992;j
DE;shwealj992;p0p50;2019;0.020;992;j
DE;shwealj992;p0p50;2020;0.019;992;j
DE;ahwealj992;p0p100;2018;217000;992;j
DE;ahwealj992;p0p100;2019;223000;992;j
DE;ahwealj992;p0p100;2020;229000;992;j
DE;mhwealj992;p0p100;2018;57000;992;j
DE;mhwealj992;p0p100;2019;58000;992;j
DE;mhwealj992;p0p100;2020;59000;992;j
