country;variable;percentile;year;value;age;pop
ES;ghwealj992;p0p100;2010;0.685;992;j
ES;ghwealj992;p0p100;2015;0.696;992;j
ES;ghwealj992;p0p100;2020;0.706;992;j
ES;shwealj992;p90p100;2010;0.531;992;j
ES;shwealj992;p90p100;2015;0.545;992;j
ES;shwealj992;p90p100;2020;0.554;992;j
ES;shwealj992;p99p100;2010;0.198;992;j
ES;shwealj992;p99p100;2015;0.207;992;j
ES;shwealj992;p99p100;2020;0.214;992;j
ES;shwealj992;p0p50;2010;0.072;992;j
ES;shwealj992;p0p50;2015;0.066;992;j
ES;shwealj992;p0p50;2020;0.062;992;j
ES;ahwealj992;p0p100;2010;162000;992;j
ES;ahwealj992;p0p100;2015;158000;992;j
ES;ahwealj992;p0p100;2020;168000;992;j
ES;mhwealj992;p0p100;2010;90000;992;j
ES;mhwealj992;p0p100;2015;82000;992;j
ES;mhwealj992;p0p100;2020;86000;992;j
