country;variable;percentile;year;value;age;pop
FR;ghwealj992;p0p100;2018;0.701;992;j
FR;ghwealj992;p0p100;2019;0.704;992;j
FR;ghwealj992;p0p100;2020;0.708;992;j
FR;shwealj992;p90p100;2018;0.553;992;j
FR;shwealj992;p90p100;2019;0.557;992;j
FR;shwealj992;p90p100;2020;0.561;992;j
FR;shwealj992;p99p100;2018;0.221;992;j
FR;shwealj992;p99p100;2019;0.224;992;j
FR;shwealj992;p99p100;2020;0.227;992;j
FR;shwealj992;p0p50;2018;0.058;992;j
FR;shwealj992;p0p50;2019;0.056;992;j
FR;shwealj992;p0p50;2020;0.054;992;j
FR;ahwealj992;p0p100;2018;242000;992;j
FR;ahwealj992;p0p100;2019;249000;992;j
FR;ahwealj992;p0p100;2020;256000;992;j
FR;mhwealj992;p0p100;2018;112000;992;j
FR;mhwealj992;p0p100;2019;115000;992;j
FR;mhwealj992;p0p100;2020;117000;992;j
