country;variable;percentile;year;value;age;pop
IT;ghwealj992;p0p100;2010;0.658;992;j
IT;ghwealj992;p0p100;2015;0.671;992;j
IT;ghwealj992;p0p100;2020;0.685;992;j
IT;shwealj992;p90p100;2010;0.501;992;j
IT;shwealj992;p90p100;2015;0.518;992;j
IT;shwealj992;p90p100;2020;0.532;992;j
IT;shwealj992;p99p100;2010;0.179;992;j
IT;shwealj992;p99p100;2015;0.189;992;j
IT;shwealj992;p99p100;2020;0.198;992;j
IT;shwealj992;p0p50;2010;0.082;992;j
IT;shwealj992;p0p50;2015;0.073;992;j
IT;shwealj992;p0p50;2020;0.067;992;j
IT;ahwealj992;p0p100;2010;201000;992;j
IT;ahwealj992;p0p100;2015;198000;992;j
IT;ahwealj992;p0p100;2020;212000;992;j
IT;mhwealj992;p0p100;2010;115000;992;j
IT;mhwealj992;p0p100;2015;107000;992;j
IT;mhwealj992;p0p100;2020;112000;992;j
