country;variable;percentile;year;value;age;pop
US;ghwealj992;p0p100;2018;0.852;992;j
US;ghwealj992;p0p100;2019;0.853;992;j
US;ghwealj992;p0p100;2020;0.857;992;j
US;shwealf992;p90p100;2018;0.713;992;f
US;shwealf992;p90p100;2019;0.715;992;f
US;shwealf992;p90p100;2020;0.722;992;f
US;shwealf992;p99p100;2018;0.348;992;f
US;shwealf992;p99p100;2019;0.351;992;f
US;shwealf992;p99p100;2020;0.354;992;f
US;shwealf992;p0p50;2018;0.013;992;f
US;shwealf992;p0p50;2019;0.012;992;f
US;shwealf992;p0p50;2020;0.012;992;f
US;ahwealf992;p0p100;2018;352000;992;f
US;ahwealf992;p0p100;2019;367000;992;f
US;ahwealf992;p0p100;2020;391000;992;f
