country,wave,year,gini,mean_net_wealth,median_net_wealth,neg_wealth_share,top10_share,top5_share,top1_share
DE,1,2010,0.758,222200,51400,0.073,0.595,0.464,0.244
DE,2,2014,0.762,214500,60400,0.082,0.598,0.470,0.249
DE,3,2017,0.738,232800,70800,0.090,0.594,0.469,0.244
DE,4,2021,0.726,316500,106600,0.094,0.563,0.439,0.220
FR,1,2010,0.679,233400,113500,0.024,0.502,0.376,0.184
FR,2,2014,0.679,243700,113300,0.029,0.502,0.378,0.187
FR,3,2017,0.680,239400,113300,0.029,0.499,0.375,0.180
FR,4,2021,0.668,279000,140000,0.030,0.493,0.371,0.179
IT,1,2010,0.609,275200,173500,0.022,0.444,0.330,0.143
IT,2,2014,0.601,226400,138400,0.026,0.439,0.327,0.140
IT,3,2017,0.603,206900,126000,0.029,0.443,0.331,0.143
IT,4,2021,0.625,237400,138900,0.034,0.456,0.342,0.153
ES,1,2010,0.580,291400,182700,0.020,0.434,0.317,0.137
ES,2,2014,0.605,253900,159500,0.030,0.451,0.330,0.144
ES,3,2017,0.581,272700,168000,0.027,0.444,0.326,0.149
ES,4,2021,0.640,308600,148800,0.035,0.470,0.349,0.158
