year,top1_share,top10_share,top10_share_scf,top10_gap,bottom50_share,bottom50_share_scf,mean_net_wealth_scf,median_net_wealth_scf,mean_net_wealth_interp,median_net_wealth_interp,source_shares,source_moments
1989,0.229,0.608,0.670999,-0.06299900000000003,0.034,0.029876,436603.82,108500.82,436603.82,108500.82,DFA,SCF
1990,0.228,0.6,,,0.036,,,,420269.9066666667,106659.51000000001,DFA,SCF_interp
1991,0.235,0.6,,,0.037,,,,403935.99333333335,104818.2,DFA,SCF_interp
1992,0.235,0.596,0.669738,-0.07373800000000008,0.04,0.033293,387602.08,102976.89,387602.08,102976.89,DFA,SCF
1993,0.249,0.605,,,0.037,,,,395895.79333333333,105940.48333333334,DFA,SCF_interp
1994,0.26,0.608,,,0.035,,,,404189.5066666667,108904.07666666666,DFA,SCF_interp
1995,0.274,0.614,0.679286,-0.06528599999999996,0.036,0.035759,412483.22000000003,111867.67,412483.22000000003,111867.67,DFA,SCF
1996,0.272,0.617,,,0.034,,,,447379.03,118156.11333333333,DFA,SCF_interp
1997,0.275,0.625,,,0.033,,,,482274.84,124444.55666666667,DFA,SCF_interp
1998,0.277,0.631,0.685745,-0.054745000000000044,0.033,0.030082,517170.65,130733.0,517170.65,130733.0,DFA,SCF
1999,0.279,0.638,,,0.032,,,,566627.1933333334,135558.07,DFA,SCF_interp
2000,0.268,0.626,,,0.032,,,,616083.7366666667,140383.14,DFA,SCF_interp
2001,0.259,0.618,0.695907,-0.07790700000000006,0.03,0.028021,665540.28,145208.21000000002,665540.28,145208.21000000002,DFA,SCF
2002,0.251,0.611,,,0.029,,,,678939.4933333334,145567.3666666667,DFA,SCF_interp
2003,0.26,0.626,,,0.026,,,,692338.7066666667,145926.52333333335,DFA,SCF_interp
2004,0.27,0.636,0.694395,-0.058394999999999975,0.025,0.025511,705737.92,146285.68000000002,705737.92,146285.68000000002,DFA,SCF
2005,0.272,0.641,,,0.025,,,,736086.6933333334,155240.81333333335,DFA,SCF_interp
2006,0.282,0.656,,,0.023,,,,766435.4666666667,164195.94666666668,DFA,SCF_interp
2007,0.288,0.671,0.714094,-0.043093999999999966,0.017,0.025162,796784.24,173151.08000000002,796784.24,173151.08000000002,DFA,SCF
2008,0.277,0.665,,,0.01,,,,756506.9966666667,150489.40333333335,DFA,SCF_interp
2009,0.281,0.677,,,0.006,,,,716229.7533333333,127827.72666666668,DFA,SCF_interp
2010,0.288,0.689,0.744065,-0.05506500000000003,0.004,0.011867,675952.51,105166.05,675952.51,105166.05,DFA,SCF
2011,0.29,0.688,,,0.004,,,,674832.5966666667,104646.90333333334,DFA,SCF_interp
2012,0.296,0.69,,,0.007,,,,673712.6833333333,104127.75666666667,DFA,SCF_interp
2013,0.298,0.692,0.749986,-0.05798600000000009,0.009,0.010835,672592.77,103608.61,672592.77,103608.61,DFA,SCF
2014,0.306,0.7,,,0.01,,,,731868.4466666667,109070.62666666666,DFA,SCF_interp
2015,0.306,0.699,,,0.012,,,,791144.1233333334,114532.64333333333,DFA,SCF_interp
2016,0.307,0.699,0.770622,-0.07162200000000007,0.013,0.011888,850419.8,119994.65999999999,850419.8,119994.65999999999,DFA,SCF
2017,0.308,0.701,,,0.014,,,,855519.51,127044.71999999999,DFA,SCF_interp
2018,0.3,0.696,,,0.016,,,,860619.2200000001,134094.78,DFA,SCF_interp
2019,0.306,0.701,0.764663,-0.06366300000000003,0.017,0.014913,865718.93,141144.84,865718.93,141144.84,DFA,SCF
2020,0.306,0.689,,,0.022,,,,930302.6866666666,158329.89333333334,DFA,SCF_interp
2021,0.309,0.681,,,0.024,,,,994886.4433333334,175514.94666666666,DFA,SCF_interp
2022,0.299,0.664,0.733635,-0.069635,0.026,0.021994,1059470.2,192700.0,1059470.2,192700.0,DFA,SCF
2023,0.303,0.668,,,0.025,,,,,,DFA,none
2024,0.31,0.674,,,0.025,,,,,,DFA,none
2025,0.319,0.683,,,0.025,,,,,,DFA,none
